source,workload,mode,scheduler,trial,clients,data_sets,precreate_per_set,ops_per_set,iterations,batch_size,offset,parent_count,fan_in,operation,phase,tx_count,seconds,ops_per_sec,key_conflicts,conflicts_per_tx,parent_write_parent_count,max_clients_per_parent,mean_clients_per_parent,local_failed_count,global_failed_count,fallback_tx_count,git_rev
madsim,mdtest,private,aria,0,8,,,,,512,,,,file_stat,File stat,512,11.647669980,43.957289387,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,8,,,,,512,,,,file_unlink,File removal,512,14.911576034,34.335740155,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,8,,,,,512,,,,directory_remove,Directory removal,32,3.095048266,10.339095629,,,,,,0,0,0,4d65fef
madsim,mdtest,public,aria,0,8,,,,,512,,,,directory_create,Directory creation,32,3.560927119,8.986423740,,,,,,12,48,48,4d65fef
madsim,mdtest,public,aria,0,8,,,,,512,,,,directory_stat,Directory stat,32,2.705047773,11.829735622,,,,,,0,0,0,4d65fef
madsim,mdtest,public,aria,0,8,,,,,512,,,,file_create,File creation,512,23.751523548,21.556511900,,,,,,432,1728,1728,4d65fef
madsim,mdtest,public,aria,0,8,,,,,512,,,,file_stat,File stat,512,11.582809158,44.203439167,,,,,,0,0,0,4d65fef
madsim,mdtest,public,aria,0,8,,,,,512,,,,file_unlink,File removal,512,23.546128275,21.744551547,,,,,,432,1728,1728,4d65fef
madsim,mdtest,public,aria,0,8,,,,,512,,,,directory_remove,Directory removal,32,3.664890204,8.731503052,,,,,,12,48,48,4d65fef
madsim,mdtest,private,calvin,0,16,,,,,512,,,,directory_create,Directory creation,64,0.854458639,74.901226436,,,,,,0,0,0,4d65fef
madsim,mdtest,private,calvin,0,16,,,,,512,,,,directory_stat,Directory stat,64,0.566016389,113.070930884,,,,,,0,0,0,4d65fef
madsim,mdtest,private,calvin,0,16,,,,,512,,,,file_create,File creation,1024,5.523325050,185.395570735,,,,,,0,0,0,4d65fef
madsim,mdtest,private,calvin,0,16,,,,,512,,,,file_stat,File stat,1024,4.243814142,241.292376560,,,,,,0,0,0,4d65fef
madsim,mdtest,private,calvin,0,16,,,,,512,,,,file_unlink,File removal,1024,5.497654726,186.261242482,,,,,,0,0,0,4d65fef
madsim,mdtest,private,calvin,0,16,,,,,512,,,,directory_remove,Directory removal,64,0.849665355,75.323772616,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,16,,,,,512,,,,directory_create,Directory creation,64,1.291014793,49.573405624,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,16,,,,,512,,,,directory_stat,Directory stat,64,0.578487951,110.633246361,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,16,,,,,512,,,,file_create,File creation,1024,15.249054810,67.151703024,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,16,,,,,512,,,,file_stat,File stat,1024,4.258553871,240.457214120,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,16,,,,,512,,,,file_unlink,File removal,1024,15.336493629,66.768847220,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,16,,,,,512,,,,directory_remove,Directory removal,64,1.301363036,49.179205364,,,,,,0,0,0,4d65fef
madsim,mdtest,private,scc,0,16,,,,,512,,,,directory_create,Directory creation,64,0.821956563,77.862995298,,,,,,0,0,0,4d65fef
madsim,mdtest,private,scc,0,16,,,,,512,,,,directory_stat,Directory stat,64,0.551115986,116.128005040,,,,,,0,0,0,4d65fef
madsim,mdtest,private,scc,0,16,,,,,512,,,,file_create,File creation,1024,5.372796377,190.589765207,,,,,,0,0,0,4d65fef
madsim,mdtest,private,scc,0,16,,,,,512,,,,file_stat,File stat,1024,4.220771219,242.609690710,,,,,,0,0,0,4d65fef
madsim,mdtest,private,scc,0,16,,,,,512,,,,file_unlink,File removal,1024,5.443126851,188.127160735,,,,,,0,0,0,4d65fef
madsim,mdtest,private,scc,0,16,,,,,512,,,,directory_remove,Directory removal,64,0.879139708,72.798440814,,,,,,0,0,0,4d65fef
madsim,mdtest,public,scc,0,16,,,,,512,,,,directory_create,Directory creation,64,0.876955706,72.979740667,,,,,,0,0,0,4d65fef
madsim,mdtest,public,scc,0,16,,,,,512,,,,directory_stat,Directory stat,64,0.571650170,111.956583517,,,,,,0,0,0,4d65fef
madsim,mdtest,public,scc,0,16,,,,,512,,,,file_create,File creation,1024,7.340376015,139.502390328,,,,,,0,0,0,4d65fef
madsim,mdtest,public,scc,0,16,,,,,512,,,,file_stat,File stat,1024,4.264384037,240.128466647,,,,,,0,0,0,4d65fef
madsim,mdtest,public,scc,0,16,,,,,512,,,,file_unlink,File removal,1024,7.291389272,140.439628417,,,,,,0,0,0,4d65fef
madsim,mdtest,public,scc,0,16,,,,,512,,,,directory_remove,Directory removal,64,0.905280481,70.696321575,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,16,,,,,512,,,,directory_create,Directory creation,64,3.592261574,17.816074548,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,16,,,,,512,,,,directory_stat,Directory stat,64,2.903237804,22.044353346,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,16,,,,,512,,,,file_create,File creation,1024,16.449369374,62.251626595,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,16,,,,,512,,,,file_stat,File stat,1024,12.176723688,84.094870364,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,16,,,,,512,,,,file_unlink,File removal,1024,16.281098432,62.895019293,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,16,,,,,512,,,,directory_remove,Directory removal,64,3.596515904,17.794999858,,,,,,0,0,0,4d65fef
madsim,mdtest,public,aria,0,16,,,,,512,,,,directory_create,Directory creation,64,4.523745550,14.147568490,,,,,,43,172,172,4d65fef
madsim,mdtest,public,aria,0,16,,,,,512,,,,directory_stat,Directory stat,64,2.919380180,21.922461637,,,,,,0,0,0,4d65fef
madsim,mdtest,public,aria,0,16,,,,,512,,,,file_create,File creation,1024,37.465890126,27.331527332,,,,,,930,3759,3759,4d65fef
madsim,mdtest,public,aria,0,16,,,,,512,,,,file_stat,File stat,1024,12.178181517,84.084803513,,,,,,13,13,13,4d65fef
madsim,mdtest,public,aria,0,16,,,,,512,,,,file_unlink,File removal,1024,37.554547853,27.267003826,,,,,,943,3772,3772,4d65fef
madsim,mdtest,public,aria,0,16,,,,,512,,,,directory_remove,Directory removal,64,4.528052878,14.134110560,,,,,,43,172,172,4d65fef
madsim,mdtest,private,calvin,0,32,,,,,512,,,,directory_create,Directory creation,128,1.180833801,108.397981064,,,,,,0,0,0,4d65fef
madsim,mdtest,private,calvin,0,32,,,,,512,,,,directory_stat,Directory stat,128,0.789118428,162.206324752,,,,,,0,0,0,4d65fef
madsim,mdtest,private,calvin,0,32,,,,,512,,,,file_create,File creation,2048,9.512181366,215.302875460,,,,,,0,0,0,4d65fef
madsim,mdtest,private,calvin,0,32,,,,,512,,,,file_stat,File stat,2048,7.787404500,262.988778867,,,,,,0,0,0,4d65fef
madsim,mdtest,private,calvin,0,32,,,,,512,,,,file_unlink,File removal,2048,9.445323181,216.826884666,,,,,,0,0,0,4d65fef
madsim,mdtest,private,calvin,0,32,,,,,512,,,,directory_remove,Directory removal,128,1.172326431,109.184606450,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,32,,,,,512,,,,directory_create,Directory creation,128,2.225285900,57.520698801,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,32,,,,,512,,,,directory_stat,Directory stat,128,0.799822464,160.035515082,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,32,,,,,512,,,,file_create,File creation,2048,30.567163657,67.000001144,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,32,,,,,512,,,,file_stat,File stat,2048,7.775939911,263.376520837,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,32,,,,,512,,,,file_unlink,File removal,2048,30.456116565,67.244292148,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,32,,,,,512,,,,directory_remove,Directory removal,128,2.212131784,57.862737169,,,,,,0,0,0,4d65fef
madsim,mdtest,private,scc,0,32,,,,,512,,,,directory_create,Directory creation,128,1.184510632,108.061503664,,,,,,0,0,0,4d65fef
madsim,mdtest,private,scc,0,32,,,,,512,,,,directory_stat,Directory stat,128,0.785243139,163.006836536,,,,,,0,0,0,4d65fef
madsim,mdtest,private,scc,0,32,,,,,512,,,,file_create,File creation,2048,9.485278073,215.913543519,,,,,,0,0,0,4d65fef
madsim,mdtest,private,scc,0,32,,,,,512,,,,file_stat,File stat,2048,7.762075063,263.846971767,,,,,,0,0,0,4d65fef
madsim,mdtest,private,scc,0,32,,,,,512,,,,file_unlink,File removal,2048,9.478704530,216.063280960,,,,,,0,0,0,4d65fef
madsim,mdtest,private,scc,0,32,,,,,512,,,,directory_remove,Directory removal,128,1.195871253,107.034933467,,,,,,0,0,0,4d65fef
madsim,mdtest,public,scc,0,32,,,,,512,,,,directory_create,Directory creation,128,1.292989280,98.995406984,,,,,,0,0,0,4d65fef
madsim,mdtest,public,scc,0,32,,,,,512,,,,directory_stat,Directory stat,128,0.797421132,160.517441617,,,,,,0,0,0,4d65fef
madsim,mdtest,public,scc,0,32,,,,,512,,,,file_create,File creation,2048,13.096000466,156.383623024,,,,,,0,0,0,4d65fef
madsim,mdtest,public,scc,0,32,,,,,512,,,,file_stat,File stat,2048,7.783513419,263.120250426,,,,,,0,0,0,4d65fef
madsim,mdtest,public,scc,0,32,,,,,512,,,,file_unlink,File removal,2048,13.106248372,156.261345113,,,,,,0,0,0,4d65fef
madsim,mdtest,public,scc,0,32,,,,,512,,,,directory_remove,Directory removal,128,1.248804483,102.498030510,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,32,,,,,512,,,,directory_create,Directory creation,128,4.012592545,31.899575789,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,32,,,,,512,,,,directory_stat,Directory stat,128,3.096206749,41.340908530,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,32,,,,,512,,,,file_create,File creation,2048,19.146484547,106.964805731,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,32,,,,,512,,,,file_stat,File stat,2048,13.706800635,149.414882038,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,32,,,,,512,,,,file_unlink,File removal,2048,19.557289095,104.717989802,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,32,,,,,512,,,,directory_remove,Directory removal,128,3.969568314,32.245319862,,,,,,0,0,0,4d65fef
madsim,mdtest,public,aria,0,32,,,,,512,,,,directory_create,Directory creation,128,6.588352253,19.428226525,,,,,,106,424,424,4d65fef
madsim,mdtest,public,aria,0,32,,,,,512,,,,directory_stat,Directory stat,128,3.139335901,40.772954547,,,,,,0,0,0,4d65fef
madsim,mdtest,public,aria,0,32,,,,,512,,,,file_create,File creation,2048,68.668342038,29.824515042,,,,,,1966,7864,7864,4d65fef
madsim,mdtest,public,aria,0,32,,,,,512,,,,file_stat,File stat,2048,13.496941671,151.738078886,,,,,,0,0,0,4d65fef
madsim,mdtest,public,aria,0,32,,,,,512,,,,file_unlink,File removal,2048,68.440321940,29.923880279,,,,,,1966,7864,7864,4d65fef
madsim,mdtest,public,aria,0,32,,,,,512,,,,directory_remove,Directory removal,128,6.444676497,19.861353795,,,,,,106,424,424,4d65fef
madsim,mdtest,private,calvin,0,64,,,,,512,,,,directory_create,Directory creation,256,1.736641360,147.410977244,,,,,,0,0,0,4d65fef
madsim,mdtest,private,calvin,0,64,,,,,512,,,,directory_stat,Directory stat,256,1.225911754,208.824166311,,,,,,0,0,0,4d65fef
madsim,mdtest,private,calvin,0,64,,,,,512,,,,file_create,File creation,4096,18.261044579,224.302612169,,,,,,0,0,0,4d65fef
madsim,mdtest,private,calvin,0,64,,,,,512,,,,file_stat,File stat,4096,15.360447090,266.658904913,,,,,,0,0,0,4d65fef
madsim,mdtest,private,calvin,0,64,,,,,512,,,,file_unlink,File removal,4096,18.299392631,223.832565517,,,,,,0,0,0,4d65fef
madsim,mdtest,private,calvin,0,64,,,,,512,,,,directory_remove,Directory removal,256,1.769546890,144.669803014,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,64,,,,,512,,,,directory_create,Directory creation,256,4.169626305,61.396389334,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,64,,,,,512,,,,directory_stat,Directory stat,256,1.218780162,210.046083766,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,64,,,,,512,,,,file_create,File creation,4096,60.459006759,67.748383898,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,64,,,,,512,,,,file_stat,File stat,4096,15.367428437,266.537763087,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,64,,,,,512,,,,file_unlink,File removal,4096,60.947742831,67.205113918,,,,,,0,0,0,4d65fef
madsim,mdtest,public,calvin,0,64,,,,,512,,,,directory_remove,Directory removal,256,4.111118726,62.270154929,,,,,,0,0,0,4d65fef
madsim,mdtest,private,scc,0,64,,,,,512,,,,directory_create,Directory creation,256,1.775418450,144.191359507,,,,,,0,0,0,4d65fef
madsim,mdtest,private,scc,0,64,,,,,512,,,,directory_stat,Directory stat,256,1.210434496,211.494302952,,,,,,0,0,0,4d65fef
madsim,mdtest,private,scc,0,64,,,,,512,,,,file_create,File creation,4096,18.240791227,224.551662756,,,,,,0,0,0,4d65fef
madsim,mdtest,private,scc,0,64,,,,,512,,,,file_stat,File stat,4096,15.366084773,266.561070078,,,,,,0,0,0,4d65fef
madsim,mdtest,private,scc,0,64,,,,,512,,,,file_unlink,File removal,4096,18.323301454,223.540501709,,,,,,0,0,0,4d65fef
madsim,mdtest,private,scc,0,64,,,,,512,,,,directory_remove,Directory removal,256,1.778487714,143.942518121,,,,,,0,0,0,4d65fef
madsim,mdtest,public,scc,0,64,,,,,512,,,,directory_create,Directory creation,256,2.050039494,124.875643006,,,,,,0,0,0,4d65fef
madsim,mdtest,public,scc,0,64,,,,,512,,,,directory_stat,Directory stat,256,1.225238908,208.938843134,,,,,,0,0,0,4d65fef
madsim,mdtest,public,scc,0,64,,,,,512,,,,file_create,File creation,4096,24.615835766,166.396950278,,,,,,0,0,0,4d65fef
madsim,mdtest,public,scc,0,64,,,,,512,,,,file_stat,File stat,4096,15.357081046,266.717352584,,,,,,0,0,0,4d65fef
madsim,mdtest,public,scc,0,64,,,,,512,,,,file_unlink,File removal,4096,24.630391208,166.298617241,,,,,,0,0,0,4d65fef
madsim,mdtest,public,scc,0,64,,,,,512,,,,directory_remove,Directory removal,256,2.033064743,125.918272343,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,64,,,,,512,,,,directory_create,Directory creation,256,4.728623548,54.138376084,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,64,,,,,512,,,,directory_stat,Directory stat,256,3.638804911,70.352768632,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,64,,,,,512,,,,file_create,File creation,4096,27.829457047,147.182174380,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,64,,,,,512,,,,file_stat,File stat,4096,18.210540736,224.924677382,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,64,,,,,512,,,,file_unlink,File removal,4096,28.470998199,143.865696994,,,,,,0,0,0,4d65fef
madsim,mdtest,private,aria,0,64,,,,,512,,,,directory_remove,Directory removal,256,4.832554138,52.974057339,,,,,,0,0,0,4d65fef
madsim,mdtest,public,aria,0,64,,,,,512,,,,directory_create,Directory creation,256,10.512915364,24.350999807,,,,,,233,932,932,4d65fef
madsim,mdtest,public,aria,0,64,,,,,512,,,,directory_stat,Directory stat,256,3.634285777,70.440250357,,,,,,0,0,0,4d65fef
madsim,mdtest,public,aria,0,64,,,,,512,,,,file_create,File creation,4096,130.544679448,31.376230861,,,,,,4008,16032,16032,4d65fef
madsim,mdtest,public,aria,0,64,,,,,512,,,,file_stat,File stat,4096,18.277771593,224.097340267,,,,,,0,0,0,4d65fef
madsim,mdtest,public,aria,0,64,,,,,512,,,,file_unlink,File removal,4096,130.531557123,31.379385110,,,,,,4008,16032,16032,4d65fef
madsim,mdtest,public,aria,0,64,,,,,512,,,,directory_remove,Directory removal,256,10.521249511,24.331710766,,,,,,233,932,932,4d65fef
madsim,mdworkbench,bucket-hotness,calvin,0,8,4,32,16,2,512,1,8,1.000000000,benchmark,benchmark_total,3072,23.355273821,131.533461074,504,0.164062500,8,7,7.000000000,0,0,0,4d65fef
madsim,mdworkbench,bucket-hotness,scc,0,8,4,32,16,2,512,1,8,1.000000000,benchmark,benchmark_total,3072,22.031216415,139.438510436,504,0.164062500,8,7,7.000000000,0,0,0,4d65fef
madsim,mdworkbench,bucket-hotness,aria,0,8,4,32,16,2,512,1,8,1.000000000,benchmark,benchmark_total,3072,79.436582909,38.672358346,504,0.164062500,8,7,7.000000000,157,628,628,4d65fef
madsim,mdworkbench,bucket-hotness,calvin,0,8,4,32,16,2,512,1,4,2.000000000,benchmark,benchmark_total,3072,25.355562077,121.156848768,336,0.109375000,4,8,8.000000000,0,0,0,4d65fef
madsim,mdworkbench,bucket-hotness,scc,0,8,4,32,16,2,512,1,4,2.000000000,benchmark,benchmark_total,3072,22.092477325,139.051857101,336,0.109375000,4,8,8.000000000,0,0,0,4d65fef
madsim,mdworkbench,bucket-hotness,aria,0,8,4,32,16,2,512,1,4,2.000000000,benchmark,benchmark_total,3072,86.520703237,35.505952738,336,0.109375000,4,8,8.000000000,918,3672,3672,4d65fef
madsim,mdworkbench,bucket-hotness,calvin,0,8,4,32,16,2,512,1,2,4.000000000,benchmark,benchmark_total,3072,28.745084820,106.870444782,168,0.054687500,2,8,8.000000000,0,0,0,4d65fef
madsim,mdworkbench,bucket-hotness,scc,0,8,4,32,16,2,512,1,2,4.000000000,benchmark,benchmark_total,3072,21.844869131,140.627988274,168,0.054687500,2,8,8.000000000,0,0,0,4d65fef
madsim,mdworkbench,bucket-hotness,aria,0,8,4,32,16,2,512,1,2,4.000000000,benchmark,benchmark_total,3072,93.334319819,32.913937831,168,0.054687500,2,8,8.000000000,1331,5324,5324,4d65fef
madsim,mdworkbench,bucket-hotness,calvin,0,8,4,32,16,2,512,1,1,8.000000000,benchmark,benchmark_total,3072,36.568783278,84.006076348,84,0.027343750,1,8,8.000000000,0,0,0,4d65fef
madsim,mdworkbench,bucket-hotness,scc,0,8,4,32,16,2,512,1,1,8.000000000,benchmark,benchmark_total,3072,23.158711823,132.649865134,84,0.027343750,1,8,8.000000000,0,0,0,4d65fef
madsim,mdworkbench,bucket-hotness,aria,0,8,4,32,16,2,512,1,1,8.000000000,benchmark,benchmark_total,3072,108.418045699,28.334766415,84,0.027343750,1,8,8.000000000,1648,6592,6592,4d65fef
